"Zone","DateTime","Temperature","Humidity","Wind.Speed","general.diffuse.flows","diffuse.flows","Date","Month","Weekday","Hour","DayOfWeek","Power","Outlier"
"Zone.3..Power.Consumption",2020-07-27 17:18:30,28.63,61.12,4.907,239,224.1,2020-07-27,"Jul","Mon",17,"Mon",34584.10042,TRUE
"Zone.3..Power.Consumption",2020-07-29 17:23:20,24.59,64.22,4.908,0.121,0.089,2020-07-29,"Jul","Wed",17,"Wed",34590.12552,TRUE
"Zone.3..Power.Consumption",2020-08-14 17:21:40,23.38,48.89,4.906,0.066,0.082,2020-08-14,"Aug","Fri",17,"Fri",34602.13166,TRUE
"Zone.3..Power.Consumption",2020-08-20 17:19:00,25.88,82,4.923,22.79,17.9,2020-08-20,"Aug","Thu",17,"Thu",34602.13166,TRUE
"Zone.3..Power.Consumption",2020-08-09 17:22:30,28.83,53.52,4.906,0.124,0.089,2020-08-09,"Aug","Sun",17,"Sun",34608.15047,TRUE
"Zone.3..Power.Consumption",2020-07-02 17:21:30,24.61,83.2,4.922,0.062,0.119,2020-07-02,"Jul","Thu",17,"Thu",34608.20084,TRUE
"Zone.3..Power.Consumption",2020-08-06 17:22:30,28.21,72.2,4.904,0.08,0.13,2020-08-06,"Aug","Thu",17,"Thu",34614.16928,TRUE
"Zone.3..Power.Consumption",2020-07-06 17:22:00,25.9,80.2,4.617,0.084,0.144,2020-07-06,"Jul","Mon",17,"Mon",34626.27615,TRUE
"Zone.3..Power.Consumption",2020-07-25 17:13:30,28.73,47.89,4.908,873,60.38,2020-07-25,"Jul","Sat",17,"Sat",34632.30126,TRUE
"Zone.3..Power.Consumption",2020-07-08 17:22:40,24.68,80.2,4.908,0.091,0.1,2020-07-08,"Jul","Wed",17,"Wed",34644.35146,TRUE
"Zone.3..Power.Consumption",2020-07-06 17:19:40,28.34,65.03,4.921,87.1,86.8,2020-07-06,"Jul","Mon",17,"Mon",34650.37657,TRUE
"Zone.3..Power.Consumption",2020-08-17 17:19:00,27.11,52.18,0.071,107.8,115.6,2020-08-17,"Aug","Mon",17,"Mon",34656.30094,TRUE
"Zone.3..Power.Consumption",2020-07-26 17:13:10,33.92,39.52,4.905,875,63.51,2020-07-26,"Jul","Sun",17,"Sun",34656.40167,TRUE
"Zone.3..Power.Consumption",2020-08-19 17:22:30,24.85,88.8,4.923,0.084,0.096,2020-08-19,"Aug","Wed",17,"Wed",34662.31975,TRUE
"Zone.3..Power.Consumption",2020-07-23 17:00:10,25.94,34.18,4.912,0.113,0.096,2020-07-23,"Jul","Thu",17,"Thu",34668.45188,TRUE
"Zone.3..Power.Consumption",2020-08-13 17:22:10,21.49,51.45,4.905,0.08,0.085,2020-08-13,"Aug","Thu",17,"Thu",34674.35737,TRUE
"Zone.3..Power.Consumption",2020-07-26 17:18:40,35.58,31.01,4.906,229.1,231.6,2020-07-26,"Jul","Sun",17,"Sun",34674.47699,TRUE
"Zone.3..Power.Consumption",2020-07-20 17:23:40,26.8,52.22,0.076,0.106,0.111,2020-07-20,"Jul","Mon",17,"Mon",34680.50209,TRUE
"Zone.3..Power.Consumption",2020-07-25 17:18:30,28.77,47.72,4.91,269.1,280.3,2020-07-25,"Jul","Sat",17,"Sat",34692.5523,TRUE
"Zone.3..Power.Consumption",2020-08-02 17:21:30,25.67,59.4,4.903,0.073,0.126,2020-08-02,"Aug","Sun",17,"Sun",34704.45141,TRUE
"Zone.3..Power.Consumption",2020-08-12 17:19:00,29.15,20.24,4.908,100.8,85.4,2020-08-12,"Aug","Wed",17,"Wed",34710.47022,TRUE
"Zone.3..Power.Consumption",2020-07-07 17:21:40,30.95,35.41,4.92,0.066,0.115,2020-07-07,"Jul","Tue",17,"Tue",34710.62762,TRUE
"Zone.3..Power.Consumption",2020-07-25 17:13:10,28.64,50.69,4.91,873,61.75,2020-07-25,"Jul","Sat",17,"Sat",34710.62762,TRUE
"Zone.3..Power.Consumption",2020-07-31 17:23:00,25.1,70.3,4.899,0.099,0.063,2020-07-31,"Jul","Fri",17,"Fri",34710.62762,TRUE
"Zone.3..Power.Consumption",2020-08-16 17:19:00,26.1,54.15,4.905,126.6,144.7,2020-08-16,"Aug","Sun",17,"Sun",34716.48903,TRUE
"Zone.3..Power.Consumption",2020-07-03 17:19:50,25.12,79.1,4.92,65.05,52.72,2020-07-03,"Jul","Fri",17,"Fri",34722.67782,TRUE
"Zone.3..Power.Consumption",2020-07-28 17:23:10,26.52,45.88,4.909,0.095,0.089,2020-07-28,"Jul","Tue",17,"Tue",34722.67782,TRUE
"Zone.3..Power.Consumption",2020-07-28 17:19:20,32.05,37.68,4.909,100.7,96.3,2020-07-28,"Jul","Tue",17,"Tue",34728.70293,TRUE
"Zone.3..Power.Consumption",2020-08-17 17:22:20,23.62,62.95,0.069,0.102,0.067,2020-08-17,"Aug","Mon",17,"Mon",34740.56426,TRUE
"Zone.3..Power.Consumption",2020-07-02 17:21:20,24.61,83.2,4.925,0.08,0.096,2020-07-02,"Jul","Thu",17,"Thu",34740.75314,TRUE
"Zone.3..Power.Consumption",2020-07-16 17:23:40,25.9,83.2,4.918,0.066,0.137,2020-07-16,"Jul","Thu",17,"Thu",34746.77824,TRUE
"Zone.3..Power.Consumption",2020-08-14 17:19:10,25.27,40.75,4.91,119.7,132.5,2020-08-14,"Aug","Fri",17,"Fri",34764.6395,TRUE
"Zone.3..Power.Consumption",2020-08-23 17:19:10,25.45,55.39,4.903,78.4,88.4,2020-08-23,"Aug","Sun",17,"Sun",34764.6395,TRUE
"Zone.3..Power.Consumption",2020-08-21 17:20:30,23.88,60.62,4.921,0.084,0.074,2020-08-21,"Aug","Fri",17,"Fri",34776.67712,TRUE
"Zone.3..Power.Consumption",2020-07-03 17:21:10,24.68,83.7,4.919,0.044,0.185,2020-07-03,"Jul","Fri",17,"Fri",34776.90377,TRUE
"Zone.3..Power.Consumption",2020-07-04 17:21:30,24.51,82.6,4.919,0.077,0.078,2020-07-04,"Jul","Sat",17,"Sat",34788.95397,TRUE
"Zone.3..Power.Consumption",2020-07-18 17:23:50,26.31,43.78,4.924,0.084,0.144,2020-07-18,"Jul","Sat",17,"Sat",34794.97908,TRUE
"Zone.3..Power.Consumption",2020-07-25 17:18:40,28.64,48.02,4.909,238.3,249.8,2020-07-25,"Jul","Sat",17,"Sat",34794.97908,TRUE
"Zone.3..Power.Consumption",2020-08-18 17:22:20,24.17,78.8,0.065,0.091,0.085,2020-08-18,"Aug","Tue",17,"Tue",34800.75235,TRUE
"Zone.3..Power.Consumption",2020-08-13 17:19:10,24.19,45.05,4.903,139.2,151.4,2020-08-13,"Aug","Thu",17,"Thu",34806.77116,TRUE
"Zone.3..Power.Consumption",2020-08-16 17:22:10,22.68,63.21,0.069,0.091,0.085,2020-08-16,"Aug","Sun",17,"Sun",34806.77116,TRUE
"Zone.3..Power.Consumption",2020-07-13 17:23:30,24.06,85.9,4.914,0.062,0.141,2020-07-13,"Jul","Mon",17,"Mon",34819.0795,TRUE
"Zone.3..Power.Consumption",2020-07-20 17:19:10,31.84,39.81,0.068,70.2,59.94,2020-07-20,"Jul","Mon",17,"Mon",34825.1046,TRUE
"Zone.3..Power.Consumption",2020-08-02 17:19:30,28.15,50.59,4.902,79.9,70.5,2020-08-02,"Aug","Sun",17,"Sun",34830.84639,TRUE
"Zone.3..Power.Consumption",2020-08-04 17:22:20,25.16,84.7,4.907,0.084,0.122,2020-08-04,"Aug","Tue",17,"Tue",34836.8652,TRUE
"Zone.3..Power.Consumption",2020-08-20 17:21:20,25.56,84.5,4.924,0.084,0.119,2020-08-20,"Aug","Thu",17,"Thu",34836.8652,TRUE
"Zone.3..Power.Consumption",2020-08-01 17:19:20,28.11,73.5,4.904,88.2,78.3,2020-08-01,"Aug","Sat",17,"Sat",34842.88401,TRUE
"Zone.3..Power.Consumption",2020-07-04 17:21:40,24.47,83,4.917,0.08,0.13,2020-07-04,"Jul","Sat",17,"Sat",34843.17992,TRUE
"Zone.3..Power.Consumption",2020-08-01 17:22:40,26.36,82.7,4.911,0.08,0.074,2020-08-01,"Aug","Sat",17,"Sat",34854.92163,TRUE
"Zone.3..Power.Consumption",2020-08-11 17:22:10,29.39,27.54,4.908,0.069,0.093,2020-08-11,"Aug","Tue",17,"Tue",34854.92163,TRUE
"Zone.3..Power.Consumption",2020-07-02 17:21:10,24.61,83.3,4.923,0.077,0.122,2020-07-02,"Jul","Thu",17,"Thu",34861.25523,TRUE
"Zone.3..Power.Consumption",2020-08-12 17:22:30,24.2,46.98,4.904,0.102,0.107,2020-08-12,"Aug","Wed",17,"Wed",34866.95925,TRUE
"Zone.3..Power.Consumption",2020-08-14 17:21:30,23.41,48.62,4.905,0.091,0.078,2020-08-14,"Aug","Fri",17,"Fri",34903.0721,TRUE
"Zone.3..Power.Consumption",2020-07-01 17:22:00,25.65,53.8,4.914,0.099,0.126,2020-07-01,"Jul","Wed",17,"Wed",34921.50628,TRUE
"Zone.3..Power.Consumption",2020-07-19 17:19:10,31.08,41.38,4.91,148.5,150.7,2020-07-19,"Jul","Sun",17,"Sun",34939.58159,TRUE
"Zone.3..Power.Consumption",2020-07-14 17:23:30,25.39,81,4.916,0.091,0.122,2020-07-14,"Jul","Tue",17,"Tue",34945.60669,TRUE
"Zone.3..Power.Consumption",2020-08-02 17:21:20,25.72,59.83,4.904,0.069,0.104,2020-08-02,"Aug","Sun",17,"Sun",34951.22257,TRUE
"Zone.3..Power.Consumption",2020-08-05 17:22:40,25.88,84.4,4.909,0.055,0.148,2020-08-05,"Aug","Wed",17,"Wed",34951.22257,TRUE
"Zone.3..Power.Consumption",2020-07-05 17:19:50,25.94,78.6,4.919,61.8,56.81,2020-07-05,"Jul","Sun",17,"Sun",34951.6318,TRUE
"Zone.3..Power.Consumption",2020-08-18 17:19:00,26.91,58.32,0.065,115.9,127.5,2020-08-18,"Aug","Tue",17,"Tue",34957.24138,TRUE
"Zone.3..Power.Consumption",2020-07-07 17:19:50,34.16,29.55,4.917,34.02,30.79,2020-07-07,"Jul","Tue",17,"Tue",34957.6569,TRUE
"Zone.3..Power.Consumption",2020-08-13 17:22:00,21.6,52.15,4.901,0.08,0.093,2020-08-13,"Aug","Thu",17,"Thu",34963.26019,TRUE
"Zone.3..Power.Consumption",2020-07-01 17:21:50,26.11,52.07,4.92,0.088,0.111,2020-07-01,"Jul","Wed",17,"Wed",34969.70711,TRUE
"Zone.3..Power.Consumption",2020-08-03 17:22:10,26.23,64.05,4.904,0.132,0.044,2020-08-03,"Aug","Mon",17,"Mon",34975.29781,TRUE
"Zone.3..Power.Consumption",2020-07-21 17:23:40,28.64,29.21,4.908,0.102,0.119,2020-07-21,"Jul","Tue",17,"Tue",34987.78243,TRUE
"Zone.3..Power.Consumption",2020-08-07 17:22:50,26.55,86,4.912,0.084,0.159,2020-08-07,"Aug","Fri",17,"Fri",34993.35423,TRUE
"Zone.3..Power.Consumption",2020-08-09 17:19:10,30.18,64.72,4.907,85.2,80.3,2020-08-09,"Aug","Sun",17,"Sun",34999.37304,TRUE
"Zone.3..Power.Consumption",2020-07-29 17:23:10,24.72,63.62,4.907,0.106,0.093,2020-07-29,"Jul","Wed",17,"Wed",34999.83264,TRUE
"Zone.3..Power.Consumption",2020-08-22 17:20:20,22.7,50.12,4.929,0.132,0.174,2020-08-22,"Aug","Sat",17,"Sat",35005.39185,TRUE
"Zone.3..Power.Consumption",2020-07-03 17:21:00,24.7,83.2,4.919,0.11,0.13,2020-07-03,"Jul","Fri",17,"Fri",35005.85774,TRUE
"Zone.3..Power.Consumption",2020-07-22 17:19:00,29.25,65.96,4.908,171.3,174,2020-07-22,"Jul","Wed",17,"Wed",35005.85774,TRUE
"Zone.3..Power.Consumption",2020-08-15 17:22:20,22.99,61.55,4.909,0.088,0.082,2020-08-15,"Aug","Sat",17,"Sat",35011.41066,TRUE
"Zone.3..Power.Consumption",2020-07-28 17:23:00,26.76,45.78,4.904,0.121,0.078,2020-07-28,"Jul","Tue",17,"Tue",35017.90795,TRUE
"Zone.3..Power.Consumption",2020-08-21 17:20:20,24.12,59.52,4.924,0.143,0.104,2020-08-21,"Aug","Fri",17,"Fri",35029.46708,TRUE
"Zone.3..Power.Consumption",2020-07-04 17:19:50,25.25,77.6,4.92,42.11,37.56,2020-07-04,"Jul","Sat",17,"Sat",35029.95816,TRUE
"Zone.3..Power.Consumption",2020-07-03 17:20:50,24.7,82.7,4.926,0.548,0.474,2020-07-03,"Jul","Fri",17,"Fri",35035.98326,TRUE
"Zone.3..Power.Consumption",2020-07-30 17:23:00,23.52,62.25,4.906,0.117,0.044,2020-07-30,"Jul","Thu",17,"Thu",35042.00837,TRUE
"Zone.3..Power.Consumption",2020-08-21 17:20:10,24.32,58.35,4.919,0.735,0.608,2020-08-21,"Aug","Fri",17,"Fri",35047.52351,TRUE
"Zone.3..Power.Consumption",2020-08-08 17:22:50,26.67,85.4,4.91,0.11,0.119,2020-08-08,"Aug","Sat",17,"Sat",35053.54232,TRUE
"Zone.3..Power.Consumption",2020-07-06 17:21:40,26,79.9,4.923,0.102,0.119,2020-07-06,"Jul","Mon",17,"Mon",35054.05858,TRUE
"Zone.3..Power.Consumption",2020-07-27 17:18:40,28.47,61.75,4.907,210.3,200,2020-07-27,"Jul","Mon",17,"Mon",35060.08368,TRUE
"Zone.3..Power.Consumption",2020-07-04 17:21:20,24.55,82.3,4.927,0.091,0.089,2020-07-04,"Jul","Sat",17,"Sat",35072.13389,TRUE
"Zone.3..Power.Consumption",2020-07-19 17:23:40,28.68,40.45,4.915,0.095,0.141,2020-07-19,"Jul","Sun",17,"Sun",35072.13389,TRUE
"Zone.3..Power.Consumption",2020-07-01 17:21:40,26.52,49.6,4.92,0.106,0.104,2020-07-01,"Jul","Wed",17,"Wed",35084.1841,TRUE
"Zone.3..Power.Consumption",2020-07-15 17:23:50,26.05,83.1,4.919,0.066,0.137,2020-07-15,"Jul","Wed",17,"Wed",35084.1841,TRUE
"Zone.3..Power.Consumption",2020-08-23 17:20:40,23.87,62.95,4.904,0.099,0.093,2020-08-23,"Aug","Sun",17,"Sun",35089.65517,TRUE
"Zone.3..Power.Consumption",2020-07-07 17:21:30,31.06,35.25,4.916,0.08,0.085,2020-07-07,"Jul","Tue",17,"Tue",35096.23431,TRUE
"Zone.3..Power.Consumption",2020-07-02 17:21:00,24.72,83,4.921,0.161,0.189,2020-07-02,"Jul","Thu",17,"Thu",35108.28452,TRUE
"Zone.3..Power.Consumption",2020-07-05 17:21:50,25.2,83.1,4.924,0.102,0.107,2020-07-05,"Jul","Sun",17,"Sun",35108.28452,TRUE
"Zone.3..Power.Consumption",2020-07-06 17:21:50,25.91,80.1,4.924,0.062,0.119,2020-07-06,"Jul","Mon",17,"Mon",35108.28452,TRUE
"Zone.3..Power.Consumption",2020-07-25 17:00:30,24.02,46.88,4.907,0.113,0.1,2020-07-25,"Jul","Sat",17,"Sat",35108.28452,TRUE
"Zone.3..Power.Consumption",2020-07-04 17:21:10,24.61,81.7,4.924,0.099,0.104,2020-07-04,"Jul","Sat",17,"Sat",35114.30962,TRUE
"Zone.3..Power.Consumption",2020-07-09 17:22:50,24.74,56.39,4.92,0.11,0.082,2020-07-09,"Jul","Thu",17,"Thu",35120.33473,TRUE
"Zone.3..Power.Consumption",2020-07-10 17:23:00,27.89,29.94,4.913,0.069,0.104,2020-07-10,"Jul","Fri",17,"Fri",35126.35983,TRUE
"Zone.3..Power.Consumption",2020-08-20 17:21:10,25.55,84.3,4.921,0.044,0.163,2020-08-20,"Aug","Thu",17,"Thu",35131.78683,TRUE
"Zone.3..Power.Consumption",2020-07-25 17:18:50,28.67,48.12,4.907,208.4,219.5,2020-07-25,"Jul","Sat",17,"Sat",35132.38494,TRUE
"Zone.3..Power.Consumption",2020-07-03 17:20:00,25.09,79.5,4.921,43.05,34.18,2020-07-03,"Jul","Fri",17,"Fri",35138.41004,TRUE
"Zone.3..Power.Consumption",2020-07-31 17:22:50,25.11,70.7,4.905,0.091,0.096,2020-07-31,"Jul","Fri",17,"Fri",35138.41004,TRUE
"Zone.3..Power.Consumption",2020-08-11 17:22:00,29.55,27.94,4.903,0.11,0.085,2020-08-11,"Aug","Tue",17,"Tue",35149.84326,TRUE
"Zone.3..Power.Consumption",2020-08-17 17:22:10,23.75,62.65,0.068,0.102,0.078,2020-08-17,"Aug","Mon",17,"Mon",35149.84326,TRUE
"Zone.3..Power.Consumption",2020-07-02 17:20:00,25.4,78.3,4.919,40.43,35.03,2020-07-02,"Jul","Thu",17,"Thu",35168.53556,TRUE
"Zone.3..Power.Consumption",2020-08-21 17:19:10,26.12,54.18,4.921,91.2,103.6,2020-08-21,"Aug","Fri",17,"Fri",35185.95611,TRUE
"Zone.3..Power.Consumption",2020-07-03 17:20:40,24.69,82,4.924,1.865,1.467,2020-07-03,"Jul","Fri",17,"Fri",35186.61088,TRUE
"Zone.3..Power.Consumption",2020-07-03 17:20:10,24.98,79.7,4.92,26.63,21.55,2020-07-03,"Jul","Fri",17,"Fri",35192.63598,TRUE
"Zone.3..Power.Consumption",2020-07-01 17:21:30,26.67,49.33,4.921,0.102,0.085,2020-07-01,"Jul","Wed",17,"Wed",35198.66109,TRUE
"Zone.3..Power.Consumption",2020-07-02 17:20:50,24.81,82.9,4.925,0.728,0.615,2020-07-02,"Jul","Thu",17,"Thu",35198.66109,TRUE
"Zone.3..Power.Consumption",2020-07-12 17:23:10,24.28,84,4.905,0.069,0.167,2020-07-12,"Jul","Sun",17,"Sun",35198.66109,TRUE
"Zone.3..Power.Consumption",2020-08-23 17:20:30,24.04,62.12,4.902,0.102,0.122,2020-08-23,"Aug","Sun",17,"Sun",35204.01254,TRUE
"Zone.3..Power.Consumption",2020-08-21 17:20:00,24.57,57.82,4.924,3.25,2.656,2020-08-21,"Aug","Fri",17,"Fri",35210.03135,TRUE
"Zone.3..Power.Consumption",2020-08-22 17:19:10,24.18,39.78,4.924,86.3,101,2020-08-22,"Aug","Sat",17,"Sat",35210.03135,TRUE
"Zone.3..Power.Consumption",2020-07-04 17:21:00,24.69,81,4.926,0.15,0.096,2020-07-04,"Jul","Sat",17,"Sat",35240.83682,TRUE
"Zone.3..Power.Consumption",2020-07-26 17:00:10,22.66,75.6,4.905,0.066,0.13,2020-07-26,"Jul","Sun",17,"Sun",35252.88703,TRUE
"Zone.3..Power.Consumption",2020-08-06 17:22:20,28.73,63.65,4.905,0.091,0.115,2020-08-06,"Aug","Thu",17,"Thu",35258.18182,TRUE
"Zone.3..Power.Consumption",2020-07-17 17:23:30,26.82,47.19,4.92,0.11,0.082,2020-07-17,"Jul","Fri",17,"Fri",35258.91213,TRUE
"Zone.3..Power.Consumption",2020-07-23 17:19:00,30.02,32.85,4.906,195.2,215.5,2020-07-23,"Jul","Thu",17,"Thu",35258.91213,TRUE
"Zone.3..Power.Consumption",2020-08-18 17:22:10,24.18,78.8,0.066,0.066,0.096,2020-08-18,"Aug","Tue",17,"Tue",35270.21944,TRUE
"Zone.3..Power.Consumption",2020-08-12 17:22:20,24.2,46.98,4.907,0.091,0.059,2020-08-12,"Aug","Wed",17,"Wed",35276.23824,TRUE
